Secret,Guess1,Info1,Guess2,Info2,Guess3,Info3
07281,14907,This guess has 0 bulls 3 cows.,08742,This guess has 1 bull 3 cows.,52130,This guess has 0 bulls 3 cows.
36201,90832,This guess has 0 bulls 3 cows.,16598,This guess has 1 bull 1 cow.,71462,This guess has 0 bulls 3 cows.
42075,48326,This guess has 1 bull 1 cow.,61985,This guess has 1 bull 0 cows.,82145,This guess has 2 bulls 1 cow.
65310,43768,This guess has 0 bulls 2 cows.,92740,This guess has 1 bull 0 cows.,57012,This guess has 1 bull 2 cows.
20694,48019,This guess has 0 bulls 3 cows.,70582,This guess has 1 bull 1 cow.,78206,This guess has 0 bulls 3 cows.
57028,71852,This guess has 0 bulls 4 cows.,69701,This guess has 0 bulls 2 cows.,10892,This guess has 0 bulls 3 cows.
52189,03268,This guess has 0 bulls 2 cows.,43702,This guess has 0 bulls 1 cow.,82670,This guess has 1 bull 1 cow.
20814,76341,This guess has 0 bulls 2 cows.,17502,This guess has 0 bulls 3 cows.,68709,This guess has 0 bulls 2 cows.
29718,89560,This guess has 1 bull 1 cow.,02839,This guess has 0 bulls 3 cows.,95643,This guess has 0 bulls 1 cow.
04321,31542,This guess has 0 bulls 4 cows.,79213,This guess has 0 bulls 3 cows.,73619,This guess has 0 bulls 2 cows.
